fsym,volumefrom,fsym,volumefrom,vol-vol%
1337,29059637.82,1337,28962567.43,-0.33403854033305563
1ST,11909119.41,1ST,9405421.08,-21.02337077834372
2GIVE,31090962.509999998,2GIVE,58483536.39,88.104618411828
808,0,808,0,NULL
ABY,62413039.89,ABY,64171608.42,2.8176299906227835
ACC,350.43,ACC,2239.8,539.1576063693177
ADA,335234007.72,ADA,825912339.84,146.36890077388355
ADC,1452916.47,ADC,6075813.93,318.1805393120776
ADST,0,ADST,117122.91,NULL
ADT,32240796.27,ADT,27378373.349999998,-15.08158445988655
ADX,19356567.299999997,ADX,19110592.62,-1.2707556881740907
AE,658656,AE,802031.5499999999,21.76789553272117
AEON,866132.58,AEON,1696683.54,95.89189682715782
AGRS,687339.0599999999,AGRS,6065274.36,782.4282967419313
AIR,10339830,AIR,18961370,83.38183509786911
ALIS,52387.770000000004,ALIS,27341.340000000004,-47.80968916981959
ALTCOM,8375.510000000002,ALTCOM,5060.32,-39.581947845564045
AMB,8539011,AMB,7274202,-14.812125198105495
AMP,80941214.16,AMP,15469745.43,-80.88767806297014
ANT,775755.1799999999,ANT,879501.51,13.37359165297486
APX,80620.41,APX,10946.28,-86.42244563132338
ARC,0,ARC,613292.76,NULL
ARDR,10521142.86,ARDR,11921049.78,13.305654515178784
ARK,4114040.6100000003,ARK,4887594.09,18.802767238605345
ARN,4008501,ARN,4095408,2.168067314938926
ART,258.29999999999995,ART,42834.72,16483.32171893148
AST,35317353.63,AST,54624375.510000005,54.66723832784523
ASTRO,11994.630000000001,ASTRO,21779.579999999998,81.57775604583047
ATB,12320.800000000001,ATB,9013.029999999999,-26.84703915330175
ATL,118969.20999999999,ATL,120050.75,0.9090923609562577
ATM,4690752.8100000005,ATM,4210860.75,-10.230597932531014
ATMS,0,ATMS,1220591.31,NULL
ATOM,18310.38,ATOM,527268.63,2779.615988308271
ATS,2801877.9899999998,ATS,1533350.25,-45.27419625434867
