fsym,tsym,time,open,high,low,close,volumefrom,volumeto,fsym,tsym,max_close,max_high
808,ETH,"2017-12-30 00:00:00",0.0001997,0.0001997,0.0001997,0.0001997,0,0,808,ETH,0.0001997,0.0001997
ADA,BTC,"2017-12-30 00:00:00",0.00004969,0.00005765,0.00004969,0.00005246,283838436.69,15209.1,ADA,BTC,0.00005246,0.00005765
ADA,ETH,"2017-12-30 00:00:00",0.0009252,0.001084,0.0009248,0.0009991,39008590.17,39175.7,ADA,ETH,0.0009991,0.001149
ADA,USD,"2017-12-30 00:00:00",0.59,0.74,0.59,0.72,12386980.86,8454504.98,ADA,USD,0.72,0.74
ADX,USD,"2017-12-30 00:00:00",2.57,2.89,2.55,2.83,6452189.1,17872563.81,ADX,USD,3.06,3.58
AEON,USD,"2017-12-30 00:00:00",5.98,6.03,5,5.87,288710.86,1660087.44,AEON,USD,6.27,6.86
AIR,USD,"2017-12-30 00:00:00",0.03,0.036,0.03,0.0319,1252530,39316.05,AIR,USD,0.0335,0.04125
AMB,USD,"2017-12-30 00:00:00",0.5193,0.6512,0.5083,0.585,2846337,1630666.47,AMB,USD,0.5957,0.8294
AMP,USD,"2017-12-30 00:00:00",0.599,1.08,0.5853,1,26980404.72,28329424.96,AMP,USD,1,1.08
ANT,USD,"2017-12-30 00:00:00",3.74,3.94,3.5,3.91,258585.06,964522.27,ANT,USD,4.14,4.65
APX,USD,"2017-12-30 00:00:00",14.7,17.43,14.7,15.55,26873.47,429975.52,APX,USD,15.75,17.43
ARDR,BTC,"2017-12-30 00:00:00",0.0001274,0.0001527,0.0001168,0.0001474,3507047.62,474.11,ARDR,BTC,0.0001474,0.04562
ARDR,ETH,"2017-12-30 00:00:00",0.04503,0.05397,0.04128,0.002776,3507047.62,9922.99,ARDR,ETH,0.002915,29.09
ARDR,USD,"2017-12-30 00:00:00",1.77,2.12,1.62,2.06,3507047.62,7329729.53,ARDR,USD,2.06,29.08
ARK,USD,"2017-12-30 00:00:00",7.15,7.51,6.74,7.15,1371346.87,9640568.5,ARK,USD,7.89,9.14
AST,USD,"2017-12-30 00:00:00",0.4923,0.5501,0.467,0.5253,11772451.21,6087534.52,AST,USD,0.5253,0.5501
ATOM,USD,"2017-12-30 00:00:00",0.06399,0.0722,0.06385,0.07174,6103.46,440.67,ATOM,USD,0.07174,0.08502
BAT,USD,"2017-12-30 00:00:00",0.3845,0.4489,0.3614,0.4194,23885556.43,10086870.48,BAT,USD,0.4194,0.5023
BBT,USD,"2017-12-30 00:00:00",0.3113,0.3781,0.1853,0.3421,22795.74,7773.35,BBT,USD,0.3605,3263370.6
BCY,USD,"2017-12-30 00:00:00",0.8693,0.9652,0.8654,0.947,574335.55,541311.26,BCY,USD,0.947,1.08
BHC*,BTC,"2017-12-30 00:00:00",0.00000563,0.00000798,0.00000158,0.00000651,62905.94,0.4007,BHC*,BTC,0.00000684,0.000009
BIS,BTC,"2017-12-30 00:00:00",0.000252,0.000252,0.000252,0.000252,0,0,BIS,BTC,0.0002777,0.0002946
BLK,USD,"2017-12-30 00:00:00",0.8837,0.8903,0.8149,0.8469,2407919.43,2014946.98,BLK,USD,0.9339,1.22
BLOCK,USD,"2017-12-30 00:00:00",45.21,45.88,40.18,42.66,10140.79,437169.46,BLOCK,USD,44.9,55.75
BNB,BTC,"2017-12-30 00:00:00",0.000614,0.0006534,0.000586,0.0006113,3129194,1952.05,BNB,BTC,0.000655,0.0006897
BNT,USD,"2017-12-30 00:00:00",4.74,5.24,4.66,5.18,150105.5,737471.58,BNT,USD,5.29,5.56
BQX,BTC,"2017-12-30 00:00:00",0.0001921,0.000219,0.000191,0.000208,2293777.6,468.28,BQX,BTC,0.0002207,0.0002642
BRX,USD,"2017-12-30 00:00:00",1.46,1.55,1.4,1.5,47887.61,69437.03,BRX,USD,1.5,7.2
BTCD,USD,"2017-12-30 00:00:00",289.5,331.79,286.85,326.64,1615.62,532217.54,BTCD,USD,326.8,389.59
BTM,USD,"2017-12-30 00:00:00",2.29,2.33,2.23,2.25,19474.47,44012.3,BTM,USD,2.46,3.39
BWK,BTC,"2017-12-30 00:00:00",0.000521,0.000521,0.000521,0.000521,0,0,BWK,BTC,0.000559,0.0007
BWK,USD,"2017-12-30 00:00:00",7.25,7.25,7.25,7.3,0,0,BWK,USD,8.05,10.07
BYC,USD,"2017-12-30 00:00:00",1.71,1.8,1.61,1.85,51683.27,93029.89,BYC,USD,2.01,2.52
CANN,USD,"2017-12-30 00:00:00",0.2603,0.6549,0.2436,0.3799,147533242.45,60768942.57,CANN,USD,0.3799,0.6549
